pr,issue,autor,base,abierto,mergeado,horas,archivos,agregadas,borradas,corridas_ci,fallas_ci,tokens,minutos_sesion,bitacora
17,,SantiagoBriz,dev,2026-08-18T03:47:49Z,2026-08-18T16:37:18Z,12.8,3,125,0,3,0,,,
20,,SantiagoBriz,dev,2026-08-18T15:25:29Z,2026-08-18T16:37:30Z,1.2,1,341,0,1,0,,,
21,,SantiagoBriz,staging,2026-08-18T21:15:54Z,2026-08-18T23:05:29Z,1.8,9,888,0,3,0,,,
22,,giuliannadr,dev,2026-08-18T22:57:36Z,2026-08-18T23:03:47Z,0.1,5,422,0,1,0,,,
23,,SantiagoBriz,dev,2026-08-19T03:01:05Z,2026-08-19T20:26:15Z,17.4,1,38,0,1,0,,,
25,,SantiagoBriz,dev,2026-08-20T18:57:29Z,2026-08-21T06:46:41Z,11.8,1,612,0,4,0,,,
26,,SantiagoBriz,dev,2026-08-21T00:23:26Z,2026-08-21T06:47:01Z,6.4,2,165,0,3,0,,,
27,,SantiagoBriz,dev,2026-08-21T16:11:41Z,2026-08-21T16:15:35Z,0.1,3,121,1,1,0,,,
28,,SantiagoBriz,dev,2026-08-21T17:48:51Z,2026-08-21T18:10:04Z,0.4,3,85,2,1,0,,,
29,,giuliannadr,dev,2026-08-21T22:03:11Z,2026-08-21T22:12:35Z,0.2,3,78,24,1,0,,,
30,,giuliannadr,staging,2026-08-21T22:12:53Z,2026-08-21T22:13:28Z,0.0,9,1096,24,1,0,,,
31,,SantiagoBriz,dev,2026-08-21T22:43:10Z,2026-08-21T22:47:30Z,0.1,2,100,0,1,0,,,
32,,SantiagoBriz,dev,2026-08-21T23:37:56Z,2026-08-21T23:50:40Z,0.2,3,107,1,1,0,,,
33,,SantiagoBriz,dev,2026-08-21T23:57:25Z,2026-08-22T05:45:34Z,5.8,2,461,0,5,0,,,
34,,SantiagoBriz,dev,2026-08-22T00:17:44Z,2026-08-22T05:45:47Z,5.5,1,51,0,1,0,,,
35,,SantiagoBriz,dev,2026-08-22T05:40:12Z,2026-08-22T16:15:47Z,10.6,4,116,4,2,0,,,
36,,SantiagoBriz,dev,2026-08-22T19:24:00Z,2026-08-22T21:59:34Z,2.6,4,278,0,1,0,,,
37,,SantiagoBriz,dev,2026-08-22T21:26:39Z,2026-08-22T21:59:49Z,0.6,3,108,61,2,0,,,
38,,SantiagoBriz,dev,2026-08-22T22:12:40Z,2026-08-22T22:45:56Z,0.6,2,81,0,1,0,,,
